"2024/08/02 1:36:02 PM GMT+7","DAA","15 tahun - 29 tahun","Indomie - Goreng - Original","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/02 1:39:33 PM GMT+7","ikak","15 tahun - 29 tahun","Indomie - Kuah - Kari","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 1:39:37 PM GMT+7","HAW","15 tahun - 29 tahun","Indomie - goreng - original ","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 1:47:47 PM GMT+7","Vida ","15 tahun - 29 tahun","Mie sedap - kuah- ayam goreng ","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 1:48:34 PM GMT+7","Eva nada","15 tahun - 29 tahun","Mi kuah gaga jalapeno","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 1:52:45 PM GMT+7","STY","15 tahun - 29 tahun","Kuah","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 2:04:50 PM GMT+7","DEY","15 tahun - 29 tahun","Indomie - Kuah - Soto ","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 2:06:01 PM GMT+7","ARE","15 tahun - 29 tahun","Indomie - goreng - Original","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 2:07:05 PM GMT+7","RN","15 tahun - 29 tahun","Indomie - Kuah - Ayam Spesial","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 2:07:53 PM GMT+7","Theo","15 tahun - 29 tahun","Indomie - Kuah - kari ayam","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 2:09:31 PM GMT+7","W","15 tahun - 29 tahun","Sedap - goreng - cheese buldak","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 2:10:08 PM GMT+7","FFI","15 tahun - 29 tahun","Indomie Goreng Original","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 2:21:38 PM GMT+7","SNF","45 tahun - 60 tahun","Indomie-Ayam-Spesial","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 2:37:12 PM GMT+7","MDP","15 tahun - 29 tahun","Indomie - goreng - original","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 2:41:47 PM GMT+7","BNW","15 tahun - 29 tahun","indomie - kuah - Tori kara","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 2:43:56 PM GMT+7","SPN","15 tahun - 29 tahun","Indomie-goreng-rendang","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 2:53:09 PM GMT+7","SMSP","15 tahun - 29 tahun","Sedap - Kuah - Kari Ayam Spesial ","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 2:55:26 PM GMT+7","DAN","15 tahun - 29 tahun","Mie Sedap Goreng Original","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 2:58:40 PM GMT+7","EGP","15 tahun - 29 tahun","Sedap-kuah-kari ayam spesial","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
